,year,month,value,rate
0,2015,April,28819,4.4
1,2015,August,33120,5.0
2,2015,December,29053,4.4
3,2015,February,30480,4.7
4,2015,January,31855,5.0
5,2015,July,34744,5.2
6,2015,June,33771,5.1
7,2015,March,29926,4.6
8,2015,May,33140,5.0
9,2015,November,30379,4.6
10,2015,October,30608,4.6
11,2015,September,29966,4.6
12,2016,April,27572,4.1
13,2016,August,31495,4.7
14,2016,December,27658,4.1
15,2016,February,29798,4.5
16,2016,January,30461,4.6
17,2016,July,31719,4.6
18,2016,June,31613,4.7
19,2016,March,29363,4.4
20,2016,May,28962,4.3
21,2016,November,28531,4.2
22,2016,October,29850,4.4
23,2016,September,29148,4.3
24,2017,April,24633,3.6
25,2017,August,30238,4.4
26,2017,December,24605,3.6
27,2017,February,28497,4.2
28,2017,January,29570,4.4
29,2017,July,29654,4.2
30,2017,June,28873,4.2
31,2017,March,26783,3.9
32,2017,May,26986,4.0
33,2017,November,26390,3.8
34,2017,October,25874,3.7
35,2017,September,26107,3.7
36,2018,April,22749,3.3
37,2018,August,25990,3.7
38,2018,December,23923,3.4
39,2018,February,26054,3.7
40,2018,January,26107,3.8
41,2018,July,26393,3.7
42,2018,June,27120,3.8
43,2018,March,25015,3.6
44,2018,May,23687,3.4
45,2018,November,23428,3.3
46,2018,October,23593,3.3
47,2018,September,22540,3.2
48,2019,April,22264,3.1
49,2019,August,26840,3.7
50,2019,December,21667,3.0
51,2019,February,25344,3.6
52,2019,January,26829,3.8
53,2019,July,27272,3.8
54,2019,June,27225,3.8
55,2019,March,25272,3.5
56,2019,May,25062,3.5
57,2019,November,22979,3.2
58,2019,October,23440,3.2
59,2019,September,22453,3.1
60,2020,April,79485,12.0
61,2020,August,41088,5.9
62,2020,December,34062,4.8
63,2020,February,23789,3.3
64,2020,January,24561,3.4
65,2020,July,57704,8.2
66,2020,June,62659,9.0
67,2020,March,28689,4.1
68,2020,May,72110,10.6
69,2020,November,33789,4.8
70,2020,October,33639,4.8
71,2020,September,38792,5.6
72,2021,April,30430,4.3
73,2021,August,30365,4.1
74,2021,December,20787,2.8
75,2021,February,35294,5.0
76,2021,January,35854,5.1
77,2021,July,32082,4.3
78,2021,June,34200,4.7
79,2021,March,32345,4.5
80,2021,May,31653,4.4
81,2021,November,24756,3.3
82,2021,October,26767,3.6
83,2021,September,25742,3.5
84,2022,April,21345,2.8
85,2022,August,27788,3.6
86,2022,December,20809,2.7
87,2022,February,23872,3.1
88,2022,January,24658,3.3
89,2022,July,26272,3.3
90,2022,June,26739,3.4
91,2022,March,22565,2.9
92,2022,May,23970,3.1
93,2022,November,23832,3.1
94,2022,October,24697,3.2
95,2022,September,23072,3.0
96,2023,April,21764,2.8
97,2023,August,25738,3.2
98,2023,December,23046,2.9
99,2023,February,23999,3.1
100,2023,January,24313,3.1
101,2023,July,25549,3.2
102,2023,June,25308,3.2
103,2023,March,24414,3.1
104,2023,May,24094,3.1
105,2023,November,24302,3.0
106,2023,October,24068,3.0
107,2023,September,23080,2.9
108,2024,February,26416,3.3
109,2024,January,25692,3.2
